Origen,Destino,Mensaje,
router_3,router_1,moda nos en, 
router_6,router_2,de difíciles vibrantes,
router_3,router_3,salud viaje se,
router_6,router_7,flores orilla donde,
router_6,router_7,experiencias risa y,
router_1,router_3,El La las,
router_6,router_3,amistad sabores nutre,
router_4,router_5,sabores gris viento,
router_4,router_5,un grandeza nuestra,
router_6,router_7,horneadas sedienta la,
router_3,router_1,ventanas cantan lluvia,
router_1,router_7,conocimiento libros moda,
router_1,router_4,libros y nos,
router_5,router_4,La es nutre,
router_1,router_3,manto la un,
router_6,router_6,flores es La,
router_5,router_1,placer lluvia que,
router_5,router_4,la paciencia chocolate,
router_5,router_3,en pasa querido,
router_2,router_7,más en acaricia,
router_5,router_6,toda paso Los,
router_1,router_4,en viaje se,
router_4,router_4,y emociona Las,
router_3,router_7,viento en amistad,
router_1,router_6,un melodías cuidar,
router_3,router_5,árboles personas de,
router_2,router_7,iluminar olor nos,
router_5,router_7,una es cultivar,
router_2,router_4,por que moda,
router_4,router_4,de El tesoro,
router_3,router_3,El árboles fuente,
router_3,router_6,chocolate cantan la,
router_1,router_1,que que Las,
router_1,router_7,sol día es,
router_2,router_2,las vibrantes el,
router_2,router_5,nos debemos crean,
router_1,router_5,en a sabores,
router_5,router_5,se comienza nos,
router_2,router_4,expresarnos flores La,
router_2,router_1,educación es El,
router_1,router_6,permite huella mundos,
router_2,router_6,fuente deporte ser,
router_3,router_5,gris barreras Las,
router_4,router_2,permite intensamente transportan,
router_5,router_7,un nuestra El,
router_6,router_2,fuente pena y,
router_5,router_4,Las difíciles acaricia,
router_6,router_6,montañas a una,
router_2,router_3,de bienestar un,
router_1,router_5,nos inspira en,
router_5,router_2,galletas galletas La,
router_6,router_1,nos moda donde,
router_6,router_1,alegres Los de,
router_1,router_5,huella mundos alegría,
router_1,router_5,perdón acaricia una,
router_3,router_2,El nunca la,
router_5,router_2,un crean mar,
router_6,router_2,experiencias colores amistad,
router_6,router_7,que poder otros,
router_6,router_7,poder de corazón,
router_4,router_7,el relación nos,
router_1,router_5,pasa mañanas de,
router_4,router_3,café deporte nos,
router_2,router_2,y por horneadas,
router_4,router_6,viaje la mil,
router_5,router_5,hace une une,
router_6,router_7,amor despierta corazón,
router_4,router_1,en de nos,
router_3,router_3,crean tarde dejar,
router_6,router_2,La vibrantes chocolate,
router_2,router_3,pájaros en cuidar,
router_2,router_6,en libres mi,
router_5,router_7,de suavemente El,
router_6,router_4,y gris olor,
router_2,router_1,La El Una,
router_1,router_4,nunca El libros,
router_3,router_5,puede ventanas educación,
router_1,router_6,en El El,
router_2,router_4,momentos expresarnos pájaros,
router_5,router_1,son suavemente experiencias,
router_1,router_4,montañas la manto,
router_6,router_3,a es vibrantes,
router_2,router_7,la difíciles y,
router_5,router_5,nos los es,
router_3,router_4,la cultivar libres,
router_6,router_5,mundo El El,
router_5,router_5,El la despierta,
router_4,router_2,permite un nutre,
router_3,router_6,que base alegres,
router_3,router_6,jardín tesoro naturaleza,
router_3,router_1,vale la no,
router_1,router_1,de otros arte,
router_5,router_5,vale se nos,
router_3,router_2,una el lenguaje,
router_5,router_4,explorar permite mundos,
router_4,router_7,naturaleza una y,
router_2,router_3,cocina amistad mundos,
router_6,router_7,tierra millas salud,
router_6,router_4,base susurra nos,
router_6,router_7,invaluable flores momentos,
router_3,router_7,a contagiosa crean,
router_4,router_1,aroma Las paso,
router_3,router_1,y base base,
router_1,router_6,virtud cantan Los,
router_5,router_3,que pájaros nutre,
router_3,router_3,es educación puede,
router_4,router_6,verano casa olor,
router_2,router_5,huella La transportan,
router_2,router_6,es salud deporte,
router_6,router_3,explorar flores alegría,
router_5,router_2,difíciles hace nos,
router_4,router_3,a nuestra la,
router_5,router_3,la por otros,
router_1,router_1,las cielo El,
router_3,router_7,árboles corazón una,
router_3,router_4,celestial secretos viento,
router_5,router_4,nos sol El,
router_3,router_6,es Los risa,
router_5,router_5,momentos toda dejar,
router_5,router_3,perdón salud la,
router_5,router_1,pena El libera,
router_5,router_2,virtud café y,
router_5,router_3,una en que,
router_4,router_7,otros alegres manto,
router_4,router_2,El más sincera,
router_2,router_1,la es virtud,
router_5,router_5,base una explorar,
router_3,router_4,el la de,
router_6,router_7,alegría verdadero y,
router_5,router_7,que El secretos,
router_6,router_3,es de que,
router_6,router_5,montañas vibrantes sólida,
router_4,router_7,manto cultivar en,
router_6,router_1,mi pena alegres,
router_1,router_7,perdón verano La,
router_3,router_7,cocina nos dulce,
router_4,router_4,el arte mil,
router_6,router_7,El La mi,
router_3,router_4,querido un y,
router_1,router_4,un conoce brilla,
router_1,router_4,viaje melodías dulce,
router_5,router_5,que orilla día,
router_4,router_6,La tesoro La,
router_4,router_5,pena refresca las,
router_4,router_2,deporte virtud que,
router_5,router_2,millas majestuosas casa,
router_4,router_6,a La majestuosas,
router_5,router_7,a emociona sonrisa,
router_6,router_3,un primer a,
router_2,router_7,la son la,
router_6,router_1,las momentos de,
router_6,router_1,es pena querido,
router_1,router_4,poder y a,
router_6,router_2,de inspira libros,
router_1,router_1,cielo de es,
